area_no,left_Min-Long,Bottom_Min-Lat,Right_Max-Long,Top_Max-Lat
1,104.043333,30.655191,104.054051,30.664103
2,104.054051,30.655191,104.064769,30.664103
3,104.064769,30.655191,104.075487,30.664103
4,104.075487,30.655191,104.086205,30.664103
5,104.086205,30.655191,104.096923,30.664103
6,104.096923,30.655191,104.107641,30.664103
7,104.107641,30.655191,104.118359,30.664103
8,104.118359,30.655191,104.129077,30.664103
9,104.043333,30.664103,104.054051,30.673015
10,104.054051,30.664103,104.064769,30.673015
11,104.064769,30.664103,104.075487,30.673015
12,104.075487,30.664103,104.086205,30.673015
13,104.086205,30.664103,104.096923,30.673015
14,104.096923,30.664103,104.107641,30.673015
15,104.107641,30.664103,104.118359,30.673015
16,104.118359,30.664103,104.129077,30.673015
17,104.043333,30.673015,104.054051,30.681927
18,104.054051,30.673015,104.064769,30.681927
19,104.064769,30.673015,104.075487,30.681927
20,104.075487,30.673015,104.086205,30.681927
21,104.086205,30.673015,104.096923,30.681927
22,104.096923,30.673015,104.107641,30.681927
23,104.107641,30.673015,104.118359,30.681927
24,104.118359,30.673015,104.129077,30.681927
25,104.043333,30.681927,104.054051,30.690839
26,104.054051,30.681927,104.064769,30.690839
27,104.064769,30.681927,104.075487,30.690839
28,104.075487,30.681927,104.086205,30.690839
29,104.086205,30.681927,104.096923,30.690839
30,104.096923,30.681927,104.107641,30.690839
31,104.107641,30.681927,104.118359,30.690839
32,104.118359,30.681927,104.129077,30.690839
33,104.043333,30.690839,104.054051,30.699751
34,104.054051,30.690839,104.064769,30.699751
35,104.064769,30.690839,104.075487,30.699751
36,104.075487,30.690839,104.086205,30.699751
37,104.086205,30.690839,104.096923,30.699751
38,104.096923,30.690839,104.107641,30.699751
39,104.107641,30.690839,104.118359,30.699751
40,104.118359,30.690839,104.129077,30.699751
41,104.043333,30.699751,104.054051,30.708663
42,104.054051,30.699751,104.064769,30.708663
43,104.064769,30.699751,104.075487,30.708663
44,104.075487,30.699751,104.086205,30.708663
45,104.086205,30.699751,104.096923,30.708663
46,104.096923,30.699751,104.107641,30.708663
47,104.107641,30.699751,104.118359,30.708663
48,104.118359,30.699751,104.129077,30.708663
49,104.043333,30.708663,104.054051,30.717575
50,104.054051,30.708663,104.064769,30.717575
51,104.064769,30.708663,104.075487,30.717575
52,104.075487,30.708663,104.086205,30.717575
53,104.086205,30.708663,104.096923,30.717575
54,104.096923,30.708663,104.107641,30.717575
55,104.107641,30.708663,104.118359,30.717575
56,104.118359,30.708663,104.129077,30.717575
57,104.043333,30.717575,104.054051,30.726487
58,104.054051,30.717575,104.064769,30.726487
59,104.064769,30.717575,104.075487,30.726487
60,104.075487,30.717575,104.086205,30.726487
61,104.086205,30.717575,104.096923,30.726487
62,104.096923,30.717575,104.107641,30.726487
63,104.107641,30.717575,104.118359,30.726487
64,104.118359,30.717575,104.129077,30.726487
