Area_ID,Neig_left,Neig_Bottom,Neig_Right,Neig_Top
1,0,0,2,9
2,1,0,3,10
3,2,0,4,11
4,3,0,5,12
5,4,0,6,13
6,5,0,7,14
7,6,0,8,15
8,7,0,0,16
9,0,1,10,17
10,9,2,11,18
11,10,3,12,19
12,11,4,13,20
13,12,5,14,21
14,13,6,15,22
15,14,7,16,23
16,15,8,0,24
17,0,9,18,25
18,17,10,19,26
19,18,11,20,27
20,19,12,21,28
21,20,13,22,29
22,21,14,23,30
23,22,15,24,31
24,23,16,0,32
25,0,17,26,33
26,25,18,27,34
27,26,19,28,35
28,27,20,29,36
29,28,21,30,37
30,29,22,31,38
31,30,23,32,39
32,31,24,0,40
33,0,25,34,41
34,33,26,35,42
35,34,27,36,43
36,35,28,37,44
37,36,29,38,45
38,37,30,39,46
39,38,31,40,47
40,39,32,0,48
41,0,33,42,49
42,41,34,43,50
43,42,35,44,51
44,43,36,45,52
45,44,37,46,53
46,45,38,47,54
47,46,39,48,55
48,47,40,0,56
49,0,41,50,57
50,49,42,51,58
51,50,43,52,59
52,51,44,53,60
53,52,45,54,61
54,53,46,55,62
55,54,47,56,63
56,55,48,0,64
57,0,49,58,0
58,57,50,59,0
59,58,51,60,0
60,59,52,61,0
61,60,53,62,0
62,61,54,63,0
63,62,55,64,0
64,63,56,0,0
